route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
GUILDFORD - RAYNES PARK,12,WORCESTER PARK,MOTSPUR PARK,stop,1.11,17.1,2,0
GUILDFORD - RAYNES PARK,13,MOTSPUR PARK,RAYNES PARK,stop,1.26,18.5,4,0
GUILDFORD - WORCESTER PARK,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,11,0
GUILDFORD - WORCESTER PARK,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,13,0
GUILDFORD - WORCESTER PARK,3,CLANDON,HORSLEY,stop,3.65,17.6,12,0
GUILDFORD - WORCESTER PARK,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,6,0
GUILDFORD - WORCESTER PARK,5,EFFINGHAM JUNCTION,BOOKHAM,stop,1.72,17.6,9,0
GUILDFORD - WORCESTER PARK,6,BOOKHAM,LEATHERHEAD,stop,2.74,39.8,11,0
GUILDFORD - WORCESTER PARK,7,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,11,0
GUILDFORD - WORCESTER PARK,8,ASHTEAD,EPSOM,stop,25.77,79.0,10,0
GUILDFORD - WORCESTER PARK,9,EPSOM,EWELL WEST,stop,1.36,42.6,8,0
GUILDFORD - WORCESTER PARK,10,EWELL WEST,STONELEIGH,stop,1.22,17.2,7,0
GUILDFORD - WORCESTER PARK,11,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,11,0
RAYNES PARK - GUILDFORD,1,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,0
RAYNES PARK - GUILDFORD,2,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,3,0
RAYNES PARK - GUILDFORD,3,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
RAYNES PARK - GUILDFORD,4,STONELEIGH,EWELL WEST,stop,1.22,17.2,2,0
RAYNES PARK - GUILDFORD,5,EWELL WEST,EPSOM,stop,1.36,42.6,4,0
RAYNES PARK - GUILDFORD,6,EPSOM,ASHTEAD,stop,25.77,79.0,4,0
RAYNES PARK - GUILDFORD,7,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,4,0
RAYNES PARK - GUILDFORD,8,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,6,0
RAYNES PARK - GUILDFORD,9,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,3,0
RAYNES PARK - GUILDFORD,10,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
RAYNES PARK - GUILDFORD,11,HORSLEY,CLANDON,stop,3.65,17.6,5,0
RAYNES PARK - GUILDFORD,12,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0
RAYNES PARK - GUILDFORD,13,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,5,0
WORCESTER PARK - EFFINGHAM JUNCTION,1,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,6,0
WORCESTER PARK - EFFINGHAM JUNCTION,2,STONELEIGH,EWELL WEST,stop,1.22,17.2,7,0
WORCESTER PARK - EFFINGHAM JUNCTION,3,EWELL WEST,EPSOM,stop,1.36,42.6,8,0
WORCESTER PARK - EFFINGHAM JUNCTION,4,EPSOM,ASHTEAD,stop,25.77,79.0,10,0
WORCESTER PARK - EFFINGHAM JUNCTION,5,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,11,0
WORCESTER PARK - EFFINGHAM JUNCTION,6,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,13,0
WORCESTER PARK - EFFINGHAM JUNCTION,7,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,14,0
WORCESTER PARK - GUILDFORD,1,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
WORCESTER PARK - GUILDFORD,2,STONELEIGH,EWELL WEST,stop,1.22,17.2,3,0
WORCESTER PARK - GUILDFORD,3,EWELL WEST,EPSOM,stop,1.36,42.6,3,0
WORCESTER PARK - GUILDFORD,4,EPSOM,ASHTEAD,stop,25.77,79.0,4,1
WORCESTER PARK - GUILDFORD,5,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
WORCESTER PARK - GUILDFORD,6,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,6,0
WORCESTER PARK - GUILDFORD,7,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,3,0
WORCESTER PARK - GUILDFORD,8,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
WORCESTER PARK - GUILDFORD,9,HORSLEY,CLANDON,stop,3.65,17.6,5,0
WORCESTER PARK - GUILDFORD,10,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0
WORCESTER PARK - GUILDFORD,11,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,8,0
EARLSFIELD - GUILDFORD,1,EARLSFIELD,SURBITON,stop,6.95,16.9,13,0
EARLSFIELD - GUILDFORD,2,SURBITON,HINCHLEY WOOD,stop,2.29,17.1,4,1
EARLSFIELD - GUILDFORD,3,HINCHLEY WOOD,CLAYGATE,stop,1.2,17.1,2,0
EARLSFIELD - GUILDFORD,4,CLAYGATE,OXSHOTT,stop,2.03,17.2,4,0
