route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
EARLSFIELD - LEATHERHEAD,2,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,0
EARLSFIELD - LEATHERHEAD,3,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,2,0
EARLSFIELD - LEATHERHEAD,4,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
EARLSFIELD - LEATHERHEAD,5,STONELEIGH,EWELL WEST,stop,1.22,17.2,3,0
EARLSFIELD - LEATHERHEAD,6,EWELL WEST,EPSOM,stop,1.36,42.6,3,0
EARLSFIELD - LEATHERHEAD,7,EPSOM,ASHTEAD,stop,25.77,79.0,4,1
EARLSFIELD - LEATHERHEAD,8,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
EFFINGHAM JUNCTION - WORCESTER PARK,1,EFFINGHAM JUNCTION,BOOKHAM,stop,1.72,17.6,9,0
EFFINGHAM JUNCTION - WORCESTER PARK,2,BOOKHAM,LEATHERHEAD,stop,2.74,39.8,11,0
EFFINGHAM JUNCTION - WORCESTER PARK,3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,11,0
EFFINGHAM JUNCTION - WORCESTER PARK,4,ASHTEAD,EPSOM,stop,25.77,79.0,10,0
EFFINGHAM JUNCTION - WORCESTER PARK,5,EPSOM,EWELL WEST,stop,1.36,42.6,8,0
EFFINGHAM JUNCTION - WORCESTER PARK,6,EWELL WEST,STONELEIGH,stop,1.22,17.2,7,0
EFFINGHAM JUNCTION - WORCESTER PARK,7,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,11,0
EPSOM - EARLSFIELD,1,EPSOM,EWELL WEST,stop,1.36,42.6,3,0
EPSOM - EARLSFIELD,2,EWELL WEST,STONELEIGH,stop,1.22,17.2,3,0
EPSOM - EARLSFIELD,3,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,3,0
EPSOM - EARLSFIELD,4,WORCESTER PARK,MOTSPUR PARK,stop,1.11,17.1,2,1
EPSOM - EARLSFIELD,5,MOTSPUR PARK,RAYNES PARK,stop,1.26,18.5,3,1
EPSOM - EARLSFIELD,6,RAYNES PARK,EARLSFIELD,stop,3.24,18.4,7,1
EPSOM - RAYNES PARK,1,EPSOM,EWELL WEST,stop,1.36,42.6,8,0
EPSOM - RAYNES PARK,2,EWELL WEST,STONELEIGH,stop,1.22,17.2,7,0
EPSOM - RAYNES PARK,3,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,6,0
EPSOM - RAYNES PARK,4,WORCESTER PARK,MOTSPUR PARK,stop,1.11,17.1,5,0
EPSOM - RAYNES PARK,5,MOTSPUR PARK,RAYNES PARK,stop,1.26,18.5,5,0
EPSOM - WORCESTER PARK,1,EPSOM,EWELL WEST,stop,1.36,42.6,8,0
EPSOM - WORCESTER PARK,2,EWELL WEST,STONELEIGH,stop,1.22,17.2,7,0
EPSOM - WORCESTER PARK,3,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,11,0
GUILDFORD - EARLSFIELD,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,4,0
GUILDFORD - EARLSFIELD,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,5,0
GUILDFORD - EARLSFIELD,3,CLANDON,HORSLEY,stop,3.65,17.6,4,0
GUILDFORD - EARLSFIELD,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,3,0
GUILDFORD - EARLSFIELD,5,EFFINGHAM JUNCTION,BOOKHAM,stop,1.72,17.6,3,1
GUILDFORD - EARLSFIELD,6,BOOKHAM,LEATHERHEAD,stop,2.74,39.8,5,0
GUILDFORD - EARLSFIELD,7,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,3,1
GUILDFORD - EARLSFIELD,8,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
GUILDFORD - EARLSFIELD,9,EPSOM,EWELL WEST,stop,1.36,42.6,3,5
GUILDFORD - EARLSFIELD,10,EWELL WEST,STONELEIGH,stop,1.22,17.2,3,0
GUILDFORD - EARLSFIELD,11,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,3,0
GUILDFORD - EARLSFIELD,12,WORCESTER PARK,MOTSPUR PARK,stop,1.11,17.1,2,0
GUILDFORD - EARLSFIELD,13,MOTSPUR PARK,RAYNES PARK,stop,1.26,18.5,3,1
GUILDFORD - EARLSFIELD,14,RAYNES PARK,EARLSFIELD,stop,3.24,18.4,8,0
GUILDFORD - RAYNES PARK,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,4,0
GUILDFORD - RAYNES PARK,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,5,0
GUILDFORD - RAYNES PARK,3,CLANDON,HORSLEY,stop,3.65,17.6,4,0
GUILDFORD - RAYNES PARK,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,3,0
GUILDFORD - RAYNES PARK,5,EFFINGHAM JUNCTION,BOOKHAM,stop,1.72,17.6,3,1
GUILDFORD - RAYNES PARK,6,BOOKHAM,LEATHERHEAD,stop,2.74,39.8,5,0
GUILDFORD - RAYNES PARK,7,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,3,0
GUILDFORD - RAYNES PARK,8,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
GUILDFORD - RAYNES PARK,9,EPSOM,EWELL WEST,stop,1.36,42.6,3,1
GUILDFORD - RAYNES PARK,10,EWELL WEST,STONELEIGH,stop,1.22,17.2,3,0
GUILDFORD - RAYNES PARK,11,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,3,0
GUILDFORD - RAYNES PARK,12,WORCESTER PARK,MOTSPUR PARK,stop,1.11,17.1,2,0
GUILDFORD - RAYNES PARK,13,MOTSPUR PARK,RAYNES PARK,stop,1.26,18.5,4,0
GUILDFORD - WORCESTER PARK,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,11,0
GUILDFORD - WORCESTER PARK,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,13,0
GUILDFORD - WORCESTER PARK,3,CLANDON,HORSLEY,stop,3.65,17.6,12,0
GUILDFORD - WORCESTER PARK,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,6,0
GUILDFORD - WORCESTER PARK,5,EFFINGHAM JUNCTION,BOOKHAM,stop,1.72,17.6,9,0
GUILDFORD - WORCESTER PARK,6,BOOKHAM,LEATHERHEAD,stop,2.74,39.8,11,0
GUILDFORD - WORCESTER PARK,7,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,11,0
GUILDFORD - WORCESTER PARK,8,ASHTEAD,EPSOM,stop,25.77,79.0,10,0
GUILDFORD - WORCESTER PARK,9,EPSOM,EWELL WEST,stop,1.36,42.6,8,0
GUILDFORD - WORCESTER PARK,10,EWELL WEST,STONELEIGH,stop,1.22,17.2,7,0
GUILDFORD - WORCESTER PARK,11,STONELEIGH,WORCESTER PARK,stop,1.43,17.1,11,0
RAYNES PARK - DORKING,1,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,1
RAYNES PARK - DORKING,2,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,3,0
