route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
BALHAM - DORKING (8),2,MITCHAM EASTFIELDS,MITCHAM JUNCTION,stop,1.19,17.0,3,0
BALHAM - DORKING (8),3,MITCHAM JUNCTION,HACKBRIDGE,stop,7.56,48.5,3,0
BALHAM - DORKING (8),4,HACKBRIDGE,CARSHALTON,stop,6.49,48.6,3,0
BALHAM - DORKING (8),5,CARSHALTON,SUTTON (SURREY),stop,1.31,17.2,4,0
BALHAM - DORKING (8),6,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,0
BALHAM - DORKING (8),7,CHEAM,EPSOM,stop,3.19,42.6,6,0
BALHAM - DORKING (8),8,EPSOM,ASHTEAD,stop,25.77,79.0,5,0
BALHAM - DORKING (8),9,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - DORKING (8),10,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
BALHAM - DORKING (8),11,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,3,0
BALHAM - HORSHAM,1,BALHAM,MITCHAM EASTFIELDS,stop,2.82,16.9,7,0
BALHAM - HORSHAM,2,MITCHAM EASTFIELDS,MITCHAM JUNCTION,stop,1.19,17.0,3,0
BALHAM - HORSHAM,3,MITCHAM JUNCTION,HACKBRIDGE,stop,7.56,48.5,3,0
BALHAM - HORSHAM,4,HACKBRIDGE,CARSHALTON,stop,6.49,48.6,3,0
BALHAM - HORSHAM,5,CARSHALTON,SUTTON (SURREY),stop,1.31,17.2,4,0
BALHAM - HORSHAM,6,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,0
BALHAM - HORSHAM,7,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - HORSHAM,8,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
BALHAM - HORSHAM,9,EPSOM,ASHTEAD,stop,25.77,79.0,5,1
BALHAM - HORSHAM,10,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - HORSHAM,11,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
BALHAM - HORSHAM,12,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,3,0
BALHAM - HORSHAM,13,DORKING,HOLMWOOD,stop,4.86,18.0,7,0
BALHAM - HORSHAM,14,HOLMWOOD,OCKLEY,stop,2.44,18.1,4,0
BALHAM - HORSHAM,15,OCKLEY,WARNHAM,stop,4.59,18.4,6,0
BALHAM - HORSHAM,16,WARNHAM,HORSHAM,stop,10.52,54.2,7,0
BALHAM - HORSHAM (2),1,BALHAM,STREATHAM COMMON,stop,2.11,16.9,4,1
BALHAM - HORSHAM (2),2,STREATHAM COMMON,SUTTON (SURREY),stop,5.37,17.0,14,1
BALHAM - HORSHAM (2),3,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,6
BALHAM - HORSHAM (2),4,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - HORSHAM (2),5,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
BALHAM - HORSHAM (2),6,EPSOM,ASHTEAD,stop,25.77,79.0,5,1
BALHAM - HORSHAM (2),7,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - HORSHAM (2),8,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
BALHAM - HORSHAM (2),9,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,4,0
BALHAM - HORSHAM (2),10,DORKING,HOLMWOOD,stop,4.86,18.0,7,2
BALHAM - HORSHAM (2),11,HOLMWOOD,OCKLEY,stop,2.44,18.1,4,0
BALHAM - HORSHAM (2),12,OCKLEY,WARNHAM,stop,4.59,18.4,6,0
BALHAM - HORSHAM (2),13,WARNHAM,HORSHAM,stop,10.52,54.2,5,0
DORKING - BALHAM,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0
DORKING - BALHAM,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,5,0
DORKING - BALHAM,3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,0
DORKING - BALHAM,4,ASHTEAD,EPSOM,stop,25.77,79.0,4,0
DORKING - BALHAM,5,EPSOM,CHEAM,stop,3.19,42.6,5,8
DORKING - BALHAM,6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,1
DORKING - BALHAM,7,SUTTON (SURREY),CARSHALTON,stop,1.31,17.2,3,1
DORKING - BALHAM,8,CARSHALTON,HACKBRIDGE,stop,6.49,48.6,3,0
DORKING - BALHAM,9,HACKBRIDGE,MITCHAM JUNCTION,stop,7.56,48.5,3,0
DORKING - BALHAM,10,MITCHAM JUNCTION,MITCHAM EASTFIELDS,stop,1.19,17.0,3,0
DORKING - BALHAM,11,MITCHAM EASTFIELDS,BALHAM,stop,2.82,16.9,9,0
DORKING - BALHAM (2),1,DORKING,LEATHERHEAD,stop,4.26,39.9,7,0
DORKING - BALHAM (2),2,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,0
DORKING - BALHAM (2),3,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
DORKING - BALHAM (2),4,EPSOM,EWELL EAST,stop,1.65,42.6,5,1
DORKING - BALHAM (2),5,EWELL EAST,CHEAM,stop,1.54,17.2,3,0
DORKING - BALHAM (2),6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0
DORKING - BALHAM (2),7,SUTTON (SURREY),CARSHALTON,stop,1.31,17.2,3,1
DORKING - BALHAM (2),8,CARSHALTON,HACKBRIDGE,stop,6.49,48.6,3,0
DORKING - BALHAM (2),9,HACKBRIDGE,MITCHAM JUNCTION,stop,7.56,48.5,3,0
DORKING - BALHAM (2),10,MITCHAM JUNCTION,MITCHAM EASTFIELDS,stop,1.19,17.0,3,0
DORKING - BALHAM (2),11,MITCHAM EASTFIELDS,BALHAM,stop,2.82,16.9,8,0
DORKING - BALHAM (3),1,DORKING,LEATHERHEAD,stop,4.26,39.9,7,0
DORKING - BALHAM (3),2,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,0
DORKING - BALHAM (3),3,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
DORKING - BALHAM (3),4,EPSOM,CHEAM,stop,3.19,42.6,6,0
DORKING - BALHAM (3),5,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0
DORKING - BALHAM (3),6,SUTTON (SURREY),CARSHALTON,stop,1.31,17.2,3,1
DORKING - BALHAM (3),7,CARSHALTON,HACKBRIDGE,stop,6.49,48.6,3,0
DORKING - BALHAM (3),8,HACKBRIDGE,MITCHAM JUNCTION,stop,7.56,48.5,3,0
