route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
GUILDFORD - EARLSFIELD (3),13,RAYNES PARK,EARLSFIELD,stop,3.24,18.4,7,0
GUILDFORD - RAYNES PARK,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,4,0
GUILDFORD - RAYNES PARK,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,5,0
GUILDFORD - RAYNES PARK,3,CLANDON,HORSLEY,stop,3.65,17.6,4,0
GUILDFORD - RAYNES PARK,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,3,0
GUILDFORD - RAYNES PARK,5,EFFINGHAM JUNCTION,COBHAM AND STOKE D'ABERNON,stop,2.57,17.4,4,0
GUILDFORD - RAYNES PARK,6,COBHAM AND STOKE D'ABERNON,OXSHOTT,stop,2.02,17.4,3,0
GUILDFORD - RAYNES PARK,7,OXSHOTT,CLAYGATE,stop,2.03,17.2,3,0
GUILDFORD - RAYNES PARK,8,CLAYGATE,HINCHLEY WOOD,stop,1.2,17.1,3,0
GUILDFORD - RAYNES PARK,9,HINCHLEY WOOD,SURBITON,stop,2.29,17.1,4,0
GUILDFORD - RAYNES PARK,10,SURBITON,BERRYLANDS,stop,1.19,17.0,2,1
GUILDFORD - RAYNES PARK,11,BERRYLANDS,NEW MALDEN,stop,6.02,13.5,3,0
GUILDFORD - RAYNES PARK,12,NEW MALDEN,RAYNES PARK,stop,6.04,15.0,3,0
GUILDFORD - SURBITON,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,4,0
GUILDFORD - SURBITON,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,5,0
GUILDFORD - SURBITON,3,CLANDON,HORSLEY,stop,3.65,17.6,4,0
GUILDFORD - SURBITON,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,3,0
GUILDFORD - SURBITON,5,EFFINGHAM JUNCTION,COBHAM AND STOKE D'ABERNON,stop,2.57,17.4,4,0
GUILDFORD - SURBITON,6,COBHAM AND STOKE D'ABERNON,OXSHOTT,stop,2.02,17.4,3,0
GUILDFORD - SURBITON,7,OXSHOTT,CLAYGATE,stop,2.03,17.2,3,0
GUILDFORD - SURBITON,8,CLAYGATE,HINCHLEY WOOD,stop,1.2,17.1,3,0
GUILDFORD - SURBITON,9,HINCHLEY WOOD,SURBITON,stop,2.29,17.1,4,0
RAYNES PARK - GUILDFORD,1,RAYNES PARK,NEW MALDEN,stop,6.04,15.0,3,0
RAYNES PARK - GUILDFORD,2,NEW MALDEN,BERRYLANDS,stop,6.02,13.5,3,0
RAYNES PARK - GUILDFORD,3,BERRYLANDS,SURBITON,stop,1.19,17.0,4,0
RAYNES PARK - GUILDFORD,4,SURBITON,HINCHLEY WOOD,stop,2.29,17.1,4,17
RAYNES PARK - GUILDFORD,5,HINCHLEY WOOD,CLAYGATE,stop,1.2,17.1,3,0
RAYNES PARK - GUILDFORD,6,CLAYGATE,OXSHOTT,stop,2.03,17.2,3,0
RAYNES PARK - GUILDFORD,7,OXSHOTT,COBHAM AND STOKE D'ABERNON,stop,2.02,17.4,4,0
RAYNES PARK - GUILDFORD,8,COBHAM AND STOKE D'ABERNON,EFFINGHAM JUNCTION,stop,2.57,17.4,4,0
RAYNES PARK - GUILDFORD,9,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,2
RAYNES PARK - GUILDFORD,10,HORSLEY,CLANDON,stop,3.65,17.6,5,0
RAYNES PARK - GUILDFORD,11,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0
RAYNES PARK - GUILDFORD,12,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,4,0
SURBITON - GUILDFORD,1,SURBITON,HINCHLEY WOOD,stop,2.29,17.1,4,1
SURBITON - GUILDFORD,2,HINCHLEY WOOD,CLAYGATE,stop,1.2,17.1,3,0
SURBITON - GUILDFORD,3,CLAYGATE,OXSHOTT,stop,2.03,17.2,3,0
SURBITON - GUILDFORD,4,OXSHOTT,COBHAM AND STOKE D'ABERNON,stop,2.02,17.4,4,0
SURBITON - GUILDFORD,5,COBHAM AND STOKE D'ABERNON,EFFINGHAM JUNCTION,stop,2.57,17.4,4,0
SURBITON - GUILDFORD,6,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,3,0
SURBITON - GUILDFORD,7,HORSLEY,CLANDON,stop,3.65,17.6,5,0
SURBITON - GUILDFORD,8,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0
SURBITON - GUILDFORD,9,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,4,0
