Station,TSS
Farnham,Aldershot_2259
Aldershot,Aldershot_2259
Ash,Aldershot_2258
Ash Vale,Aldershot_2258
Wanborough,Aldershot_2258
Frimley,X
Brookwood,X
Bentley,X
Guildford,X
Alton,X
FARNHAM E M U T DPT,X
Woking,X
ASCOT,X
HAVANT,X
HASLEMERE,X
