Date,Day,Total Units,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
01/11/2025,Saturday,3296.192257833686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2535028172256,24.507005634451204,49.014011268902394,49.014011268902394,72.87539783865599,85.77451972057918,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,74.16663596805118,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,61.26751408612799
01/12/2025,Monday,12.2535028172256,12.2535028172256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/11/2025,Sunday,1936.0534451216445,12.2535028172256,36.760508451676806,24.507005634451204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.305617459897604,42.5066375728512,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,65.72240507790718,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,36.760508451676806
03/11/2025,Monday,3296.192257833686,12.2535028172256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2535028172256,24.507005634451204,49.014011268902394,49.014011268902394,72.87539783865599,85.77451972057918,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,74.16663596805118,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,49.014011268902394
04/11/2025,Tuesday,3320.6992634681374,12.2535028172256,24.507005634451204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2535028172256,24.507005634451204,49.014011268902394,49.014011268902394,72.87539783865599,85.77451972057918,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,74.16663596805118,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,49.014011268902394
05/11/2025,Wednesday,3320.6992634681374,12.2535028172256,24.507005634451204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2535028172256,24.507005634451204,49.014011268902394,49.014011268902394,72.87539783865599,85.77451972057918,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,74.16663596805118,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,49.014011268902394
06/11/2025,Thursday,3320.6992634681374,12.2535028172256,24.507005634451204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2535028172256,24.507005634451204,49.014011268902394,49.014011268902394,72.87539783865599,85.77451972057918,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,74.16663596805118,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,49.014011268902394
07/11/2025,Friday,3320.6992634681374,12.2535028172256,24.507005634451204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2535028172256,24.507005634451204,49.014011268902394,49.014011268902394,72.87539783865599,85.77451972057918,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,74.16663596805118,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,49.014011268902394
08/11/2025,Saturday,3332.952766285363,12.2535028172256,24.507005634451204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2535028172256,24.507005634451204,49.014011268902394,49.014011268902394,72.87539783865599,85.77451972057918,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,98.02802253780479,74.16663596805118,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,73.52101690335358,61.26751408612799
09/11/2025,Sunday,1936.0534451216445,12.2535028172256,36.760508451676806,24.507005634451204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.305617459897604,42.5066375728512,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,54.76014039007679,67.77488778217918,65.72240507790718,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,49.014011268902394,36.760508451676806
