TSS,Estimated KWH Avg,KWH Avg,Difference,change
ALL_SAINTS_STREET_TSS_8,92624.2278,86144.7,-6479.527795,0.9300450006
BILSTON_ROAD_TSS_2,63349.11999,83728.66667,20379.54668,1.321702128
BLACK_LAKE_TSS_6,48851.3565,41117.91667,-7733.439832,0.841694471
COLLIERY_ROAD_TSS_7,129447.7085,126477.3333,-2970.37518,0.9770534742
CONSTITUTION_HILL_TSS_9_9A,104593.5385,103290.25,-1303.288538,0.9875394928
FIVE_WAYS_TSS_10,52239.8456,56150.16667,3910.321071,1.074853228
JOHN_STREET_TSS_3,74668.99601,72472.33333,-2196.66268,0.9705813283
WEDNESBURY_DEPOT_TSS_5A,173153.7681,189690.5,16536.73193,1.095503159
WEDNESBURY_GREAT_WESTERN_TSS_5,94314.4915,110452.9167,16138.4252,1.17111289
