route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
BEDFORD MIDLAND - THREE BRIDGES (4),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
BEDFORD MIDLAND - THREE BRIDGES (4),2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (4),3,PURLEY,COULSDON SOUTH,pass,2.12,17.4,2,0
BEDFORD MIDLAND - THREE BRIDGES (4),4,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
BEDFORD MIDLAND - THREE BRIDGES (4),5,SOUTH CROYDON,COULSDON SOUTH,stop,5.15,29.7,6,0.5
BEDFORD MIDLAND - THREE BRIDGES (5),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
BEDFORD MIDLAND - THREE BRIDGES (5),2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (6),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,0.5
BEDFORD MIDLAND - THREE BRIDGES (6),2,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0.5
BEDFORD MIDLAND - THREE BRIDGES (7),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
BEDFORD MIDLAND - THREE BRIDGES (8),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,2
BEDFORD MIDLAND - THREE BRIDGES (9),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
BOGNOR REGIS - EAST CROYDON,1,MERSTHAM,COULSDON SOUTH,stop,4.1,17.5,5,0
BOGNOR REGIS - EAST CROYDON,2,COULSDON SOUTH,PURLEY,stop,2.12,17.4,4,0
BOGNOR REGIS - EAST CROYDON,3,PURLEY,SOUTH CROYDON,stop,4.85,29.6,4,0
BOGNOR REGIS - EAST CROYDON,4,SOUTH CROYDON,EAST CROYDON,pass,4.39,48.5,2,0
BOGNOR REGIS - EAST CROYDON,5,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BOGNOR REGIS - EAST CROYDON (2),1,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BOGNOR REGIS - EAST CROYDON (3),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BOGNOR REGIS - EAST CROYDON (4),1,COULSDON SOUTH,EAST CROYDON,stop,5,36.2,6,0
BOGNOR REGIS - EAST CROYDON (4),2,COULSDON SOUTH,PURLEY,stop,2.12,17.4,3,0
BOGNOR REGIS - EAST CROYDON (4),3,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BOGNOR REGIS - EAST CROYDON (5),1,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BOGNOR REGIS - EAST CROYDON (6),1,PURLEY,EAST CROYDON,stop,3.07,36.1,6,0
BOGNOR REGIS - EAST CROYDON (7),1,MERSTHAM,COULSDON SOUTH,stop,4.1,17.5,5,0
BOGNOR REGIS - EAST CROYDON (7),2,COULSDON SOUTH,PURLEY,stop,2.12,17.4,4,0
BOGNOR REGIS - EAST CROYDON (7),3,PURLEY,EAST CROYDON,stop,3.07,36.1,6,0
BRIGHTON - BATTERSEA PARK LONDON,1,PURLEY,EAST CROYDON,stop,3.07,36.1,5,2
