Station,TSS
CHIPSTEAD,AB_565
COULSDON SOUTH,AB_3049
COULSDON TOWN,AB_565
EAST CROYDON,AB_565
KENLEY,AB_565
KINGSWOOD AND BURGH HEATH,AB_565
MERSTHAM,AB_3049
PURLEY,AB_565
PURLEY OAKS,AB_565
REEDHAM (GREATER LONDON),AB_565
RIDDLESDOWN,AB_565
SANDERSTEAD,AB_565
SOUTH CROYDON,AB_565
TADWORTH,AB_565
TATTENHAM CORNER,AB_565
UPPER WARLINGHAM,AB_565
WOODMANSTERNE,AB_565
