Date,Day,Total Units,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
01/04/2026,Wednesday,104012.13514666667,1628.4941845333335,1362.2563808000002,519.425232,165.09935466666667,0.0,0.0,0.0,0.0,0.0,104.45206933333334,206.11167978666668,656.3168258133334,1205.620090377143,1308.2017389561913,1596.8258767542861,2690.042811154285,2582.0054417676192,2003.2894998857143,2713.3169888,3405.7042101333336,3518.964033066667,3523.600871466667,3683.1786042666668,3809.1169024,3649.8592197333337,3569.0013536,3600.3066965333337,3580.817882666667,3593.5924981333337,3499.085101714286,3602.5540150857146,3084.9874410666675,3355.1121546666673,3185.9170890666674,3361.1932682666666,2350.162641066667,2255.170794819048,2083.0365194666674,2767.9830592117214,2926.5779780454213,3259.267611657143,2216.1572384000006,2434.852294476191,1906.2638884571434,1822.1569635047622,2050.3607017904765,1750.4207606095242,1425.2751786666668
02/04/2026,Thursday,103938.947216,1628.4941845333335,1289.0684501333335,519.425232,165.09935466666667,0.0,0.0,0.0,0.0,0.0,104.45206933333334,206.11167978666668,656.3168258133334,1205.620090377143,1308.2017389561913,1596.8258767542861,2690.0428111542856,2582.0054417676192,2003.2894998857148,2727.1917408000004,3391.8294581333334,3518.964033066667,3523.600871466667,3683.1786042666668,3809.1169024,3649.8592197333337,3569.0013536,3600.3066965333337,3580.817882666667,3593.5924981333337,3499.085101714286,3602.5540150857146,3084.9874410666675,3355.1121546666673,3185.9170890666674,3361.1932682666666,2350.162641066667,2255.170794819048,2083.0365194666674,2767.9830592117214,2926.5779780454213,3259.267611657143,2216.1572384000006,2434.852294476191,1906.2638884571434,1822.1569635047622,2050.3607017904765,1750.4207606095242,1425.2751786666668
03/04/2026,Friday,165748.50590081525,2578.086077942858,2268.941842971429,876.7012705523811,165.09935466666667,0.0,0.0,0.0,0.0,0.0,208.90413866666668,356.4092422400001,676.12011456,1947.3664221866677,1971.3364400152393,2448.9734464000003,3982.916758125714,5482.336364693335,3761.279867779048,4485.431022201906,5147.298813379049,4930.0404375161925,5223.699690788573,5161.7154990780955,5488.877863893336,5148.361451840001,5243.190730940954,5088.826259992382,5229.1438608457165,5107.975460754286,5183.25714770286,5081.090909897143,4650.559486598096,5231.39193633524,4796.296719360001,4927.910164906667,4122.677800807617,4053.5041076114276,3932.6194913219024,4629.8928663396355,4872.8459897365565,5098.838430582858,4098.4913301028555,4280.300480106667,3904.0988594156765,3674.7315178795616,4165.8327365028545,3434.6603082819056,2630.4731852952377
04/04/2026,Saturday,97497.87226972953,1880.4427466666666,2278.8793239669844,2129.1740221663495,792.2331050666668,75.27126399999999,0.0,0.0,0.0,0.0,104.45206933333334,150.29756245333337,256.3654690133334,612.618672,602.6050651733332,658.5678026666666,1611.7929372647625,2393.57742616381,2593.5500475123804,2668.8813455542854,2593.550047512381,2654.4937594209528,2735.8988709790474,2810.6332282209523,2721.511284845714,2836.2561914209523,2695.8883216457143,2810.6332282209523,2721.5112848457143,2810.6332282209523,2721.511284845714,2810.6332282209523,2721.511284845714,2810.6332282209523,2721.511284845714,2810.6332282209523,2721.5112848457143,2810.6332282209523,2721.5112848457143,2810.6332282209523,2721.511284845714,2810.6332282209523,2730.0799682742854,2901.7441927923815,2675.218723245714,2823.384017020953,2813.4479333790473,2521.429482605715,1639.9825696761905
05/04/2026,Sunday,53706.36786735239,456.4419856761905,1079.3361574400003,1072.3746184838096,839.2061909333333,75.27126399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.16929866666668,68.37278666666667,481.67365924571436,308.04062608761905,1382.4172266209525,924.8482172190475,1479.0389843047622,1016.7406920685715,1575.5622892647623,1106.5539454019047,1575.5622892647623,1106.5539454019047,1602.446840121905,1079.6693945447619,1602.446840121905,1366.3997608380955,1616.2457538285717,1366.3997608380955,1616.2457538285717,1790.7357608380958,1895.3886402285718,1790.7357608380958,1895.3886402285718,1790.7357608380958,1895.3886402285718,1790.7357608380958,1895.3886402285718,1790.7357608380958,1895.3886402285718,1790.7357608380958,1895.3886402285718,1790.7357608380958,1830.1580215619051,1798.760267504762,1319.9491301790476
06/04/2026,Monday,164055.34677107813,2128.1260896,1901.2017752685717,463.3400711314286,0.0,0.0,0.0,0.0,0.0,0.0,208.90413866666668,356.4092422400001,676.12011456,1947.3664221866677,1971.3364400152393,2456.036107733333,3966.892579839999,5529.034570864763,3734.058121036191,4472.106854979049,5126.758935040001,4970.482980601905,5222.160503588573,5161.7154990780955,5473.323611093336,5173.984415040001,5217.567767740955,5088.826259992382,5229.1438608457165,5107.975460754286,5183.25714770286,5081.090909897143,4627.210383512381,5254.741039420954,4787.335202407619,4936.871681859048,4122.677800807617,4053.5041076114276,3932.6194913219024,4629.8928663396355,4872.8459897365565,5098.838430582858,4098.4913301028555,4280.300480106667,3904.0988594156765,3674.7315178795616,4183.755770407616,3277.7349225904773,2472.4770174780956
07/04/2026,Tuesday,101119.88870613335,1566.1802325333335,1142.0823853104762,662.2341810895239,330.19870933333334,0.0,0.0,0.0,0.0,0.0,104.45206933333334,206.11167978666668,419.75464554666667,1334.747750186667,1368.7313748419056,1797.4683050666674,2585.570183375238,3710.880491900953,1899.5824543238098,2565.1091149714293,3303.8616297142853,3060.6760158476195,3373.2972507428576,3251.90853432381,3638.847944380952,3238.5544870857148,3408.715064228572,3179.0192952380958,3394.6681941333336,3198.1684960000007,3348.7814809904767,3171.2839451428576,2807.122302933334,3330.546488533334,2952.8595356952387,3027.0647171047626,2288.2021340952388,2143.6971428571433,2098.1438246095245,2720.0859015853484,3038.370323024176,3189.031465828572,2255.4469799619055,2279.382550780953,2115.915754303297,1795.3365227252752,2358.0792948571434,1714.6346315428573,1745.0832202666666
08/04/2026,Wednesday,101016.4224448,1565.7635658666668,973.2210585904761,605.6708099047619,348.12174323809523,0.0,0.0,0.0,0.0,104.45206933333334,104.45206933333334,206.11167978666668,419.75464554666667,1334.747750186667,1368.7313748419056,1797.4683050666674,2585.5701833752382,3710.880491900953,1899.5824543238098,2549.554862171429,3303.8616297142853,3076.2302686476196,3373.2972507428576,3251.90853432381,3638.847944380952,3238.5544870857148,3408.715064228572,3179.0192952380958,3394.6681941333336,3198.1684960000007,3348.7814809904767,3171.2839451428576,2807.122302933334,3330.546488533334,2952.8595356952387,3027.0647171047626,2288.2021340952388,2143.6971428571433,2098.1438246095245,2720.0859015853484,3038.370323024176,3189.031465828572,2255.4469799619055,2279.382550780953,2115.915754303297,1795.3365227252752,2358.0792948571434,1714.6346315428573,1745.0832202666666
09/04/2026,Thursday,101016.42244480002,1565.7635658666668,983.8972932571428,594.9945752380953,348.12174323809523,0.0,0.0,0.0,0.0,104.45206933333334,104.45206933333334,206.11167978666668,419.75464554666667,1334.747750186667,1368.7313748419056,1797.4683050666674,2585.5701833752382,3710.880491900953,1899.5824543238098,2565.109114971429,3303.8616297142853,3060.6760158476195,3373.2972507428576,3251.90853432381,3638.847944380952,3238.5544870857148,3408.715064228572,3179.0192952380958,3394.6681941333336,3198.1684960000007,3348.781480990476,3171.2839451428576,2807.122302933334,3330.546488533334,2952.8595356952387,3027.0647171047626,2288.2021340952388,2143.6971428571433,2098.1438246095245,2720.0859015853484,3038.370323024176,3189.031465828572,2255.4469799619055,2279.382550780953,2115.915754303297,1795.3365227252752,2358.0792948571434,1714.6346315428573,1745.0832202666666
10/04/2026,Friday,102193.42333760002,1869.0191434666674,1406.7721775238097,745.3357261714286,348.12174323809523,0.0,0.0,0.0,0.0,104.45206933333334,104.45206933333334,206.11167978666668,419.75464554666667,1334.747750186667,1368.7313748419056,1797.4683050666674,2585.570183375238,3710.880491900953,1899.5824543238098,2565.1091149714293,3303.8616297142853,3060.6760158476195,3373.2972507428576,3251.90853432381,3638.847944380952,3238.5544870857148,3408.715064228572,3179.0192952380958,3394.6681941333336,3198.1684960000007,3348.781480990476,3171.2839451428576,2807.122302933334,3330.546488533334,2952.8595356952387,3027.0647171047626,2288.2021340952388,2143.6971428571433,2098.1438246095245,2720.0859015853484,3038.370323024176,3189.031465828572,2255.4469799619055,2279.382550780953,2115.915754303297,1795.3365227252752,2358.0792948571434,1864.9321939961908,1895.3149378133335
