Station,TSS
ESHER,BF_2271
HERSHAM,BF_2271
WEYBRIDGE,BF_2271
ADDLESTONE,BF_2271
CHERTSEY,BF_2271
BYFLEET & NEW HAW,BF_2271
WEST BYFLEET,BF_2271
WOKING,BF_2260
BROOKWOOD,BF_2260
WORPLESDON,BF_2268
GUILDFORD,BF_2268
FARNCOMBE,BF_2268
GODALMING,BF_2268
MILFORD,BF_2268
WITLEY,BF_2268
HASLEMERE,BF_2268
