Date,Day,Total Units,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
01/04/2026,Wednesday,92413.84592106668,1826.0179509333334,1256.3128181333334,190.48149333333333,101.95206933333333,0.0,0.0,0.0,0.0,0.0,104.86873600000001,229.34134933333334,1349.1333066666664,1115.257211657143,2486.103924342859,924.9475381333333,2439.153819946667,2584.5026429866657,2207.8913653333334,2046.6583680000003,2895.1106528000005,3040.5453205333342,2853.9375712000005,3051.8465552000007,3132.257069866667,3136.3670800000004,2879.5605344000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2491.205637333335,2970.751812266668,2491.622304000001,2915.2528042666677,1850.9472746666677,2237.823605333334,2382.205338666667,2426.402553600001,2777.0686816,2978.0025221333344,1617.6432288,2654.832442133334,1374.3379679999998,2046.7833109333333,1446.7426457142856,2181.369694552381,889.0956149333333
02/04/2026,Thursday,92413.84592106668,1826.0179509333334,1256.3128181333334,190.48149333333333,101.95206933333333,0.0,0.0,0.0,0.0,0.0,104.86873600000001,229.34134933333334,1349.1333066666664,1115.257211657143,2486.103924342859,924.9475381333333,2439.153819946666,2584.5026429866657,2207.891365333334,2060.53312,2881.2359008000008,3040.5453205333342,2853.9375712000005,3051.8465552000007,3132.257069866667,3136.3670800000004,2879.5605344000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2491.205637333335,2970.751812266668,2491.622304000001,2915.2528042666677,1850.9472746666677,2237.823605333334,2382.205338666667,2426.402553600001,2777.0686816,2978.0025221333344,1617.6432288,2654.832442133334,1374.3379679999998,2046.7833109333333,1446.7426457142856,2181.369694552381,889.0956149333333
03/04/2026,Friday,163427.2274202667,4386.345160304763,1809.1020834285719,218.23099733333333,101.95206933333333,0.0,0.0,0.0,0.0,0.0,209.737472,229.34134933333334,1979.5581706666667,1886.676866133334,3387.6824960000013,1942.2247392000008,4238.396783146667,5413.921838186668,4173.831499200001,4153.680680533335,4686.617192533334,5114.599441066666,4677.0789696,5143.660782399998,5003.196238933333,5228.1813071999995,4684.941826133333,5132.359547733333,4659.318862933333,5132.359547733331,4659.318862933334,5132.359547733332,4296.586929066666,5463.456445866666,4297.003595733333,5007.067031466667,3656.328566400001,4329.637832533333,4187.5866304,4518.2167807999995,4582.449973333334,5069.816749333331,3423.0245205333345,4746.646669333333,3179.7192597333346,3861.664779733335,3352.2582467809534,4319.107206019049,1751.981871466667
04/04/2026,Saturday,87369.92913173336,2511.0139456,2656.3967480888896,1576.9870033777777,533.0135797333334,0.0,0.0,0.0,0.0,0.0,104.86873600000001,0.0,837.546144,679.3581546666667,953.9461664,810.1559210666667,1822.1757920000002,2551.4710037333343,2236.7484384,2525.848040533334,2238.081771733334,2524.514707200001,2238.081771733334,2524.514707200001,2238.081771733334,2550.1376704000004,2212.4588085333335,2524.5147072000004,2238.081771733334,2524.514707200001,2238.081771733334,2524.514707200001,2238.081771733334,2524.514707200001,2238.081771733334,2524.5147072000004,2238.0817717333334,2524.5147072000004,2238.081771733334,2524.514707200001,2238.0817717333334,2524.5147072000013,2238.081771733334,2524.514707200001,2238.081771733334,2247.5819488000006,2338.632747733334,2570.437991466668,1024.5072512000002
05/04/2026,Sunday,43416.24236906666,988.2956298666668,1142.2467189333336,737.2507605333333,709.8645696000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.59134933333334,292.39922666666666,472.7687451733335,909.0856580266665,769.2774929066667,1189.0950788266666,769.2774929066667,1189.0950788266666,769.2774929066667,1189.0950788266666,769.2774929066667,1189.0950788266666,769.2774929066667,1189.0950788266666,769.2774929066667,1244.2907336533333,980.00877568,1244.2907336533333,980.00877568,1738.8078280533332,1133.0670540800002,1738.8078280533332,1133.0670540800002,1738.8078280533332,1133.0670540800002,1738.8078280533332,1133.0670540800002,1738.8078280533332,1133.0670540800002,1738.8078280533332,1133.0670540800002,1738.8078280533332,1133.0670540800002,2002.0857716266667,823.7903941333334
06/04/2026,Monday,160245.73291146668,2614.122155733334,1105.107751466667,101.95206933333333,0.0,0.0,0.0,0.0,0.0,0.0,209.737472,229.34134933333334,1979.5581706666667,1886.676866133334,3387.6824960000013,1942.2247392000008,4238.396783146667,5413.9218381866685,4173.831499200001,4153.680680533335,4686.617192533333,5132.359547733333,4659.318862933334,5143.660782399998,4937.638361599999,5253.8042704,4659.318862933334,5132.359547733333,4659.318862933334,5132.359547733332,4659.318862933334,5132.359547733332,4296.586929066666,5463.456445866666,4297.003595733333,5007.067031466667,3656.328566400001,4329.637832533333,4187.5866304,4518.2167807999995,4582.449973333334,5069.816749333331,3423.0245205333345,4746.646669333333,3179.7192597333346,3861.664779733335,3352.2582467809534,4319.107206019049,1330.4935738666668
07/04/2026,Tuesday,94854.06072640001,1826.0179509333334,1709.2026325333336,177.058848,203.90413866666665,0.0,0.0,0.0,0.0,0.0,104.86873600000001,229.34134933333334,1142.0120266666665,1207.3187114666666,2433.736329600002,1132.0688181333337,2485.594751146667,3295.151314453333,2369.7835408000005,2060.53312,2881.2359008000008,3040.5453205333342,2853.9375712000005,3051.8465552000007,3132.257069866667,3136.3670800000004,2879.5605344000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2491.205637333335,3371.6422186666673,2491.622304000001,2915.2528042666677,1850.9472746666677,2237.823605333334,2382.205338666667,2426.402553600001,2777.0686816,2978.0025221333344,1617.6432288,2654.832442133334,1374.3379679999998,2046.7833109333333,1716.1490510476194,2181.369694552381,1158.9186869333334
08/04/2026,Wednesday,94417.51022400001,1826.0179509333334,1146.4309248000002,198.41131733333333,203.90413866666665,0.0,0.0,0.0,0.0,104.45206933333334,105.28540266666668,229.34134933333334,1142.0120266666665,1207.3187114666666,2433.736329600002,1132.068818133334,2485.594751146667,3295.151314453333,2369.7835408000005,2060.53312,2881.2359008000008,3040.5453205333342,2853.9375712000005,3051.8465552000007,3132.257069866667,3136.3670800000004,2879.5605344000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2491.205637333335,3371.6422186666673,2491.622304000001,2915.2528042666677,1850.9472746666677,2237.823605333334,2382.205338666667,2426.402553600001,2777.0686816,2978.0025221333344,1617.6432288,2654.832442133334,1374.3379679999998,2046.7833109333333,1716.1490510476194,2181.369694552381,1158.9186869333334
09/04/2026,Thursday,94417.51022400001,1826.0179509333334,1157.1071594666669,187.73508266666667,203.90413866666665,0.0,0.0,0.0,0.0,104.45206933333334,105.28540266666668,229.34134933333334,1142.0120266666665,1207.3187114666666,2433.736329600002,1132.068818133334,2485.594751146666,3295.151314453333,2369.7835408000005,2060.53312,2881.2359008000008,3040.5453205333342,2853.9375712000005,3051.8465552000007,3132.257069866667,3136.3670800000004,2879.5605344000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2491.205637333335,3371.6422186666673,2491.622304000001,2915.2528042666677,1850.9472746666677,2237.823605333334,2382.205338666667,2426.402553600001,2777.0686816,2978.0025221333344,1617.6432288,2654.832442133334,1374.3379679999998,2046.7833109333333,1716.1490510476194,2181.369694552381,1158.9186869333334
10/04/2026,Friday,95952.45610666668,2756.8240202666675,1402.0126538666668,215.48458666666667,203.90413866666665,0.0,0.0,0.0,0.0,104.45206933333334,105.28540266666668,229.34134933333334,1142.0120266666665,1207.3187114666666,2433.736329600002,1132.0688181333337,2485.594751146667,3295.151314453333,2369.7835408000005,2060.53312,2881.2359008000008,3040.5453205333342,2853.9375712000005,3051.8465552000007,3197.8149472,3136.3670800000004,2879.5605344000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2853.9375712000005,3040.5453205333342,2491.205637333335,3371.6422186666673,2491.622304000001,2915.2528042666677,1850.9472746666677,2237.823605333334,2382.205338666667,2426.402553600001,2777.0686816,2978.0025221333344,1617.6432288,2654.832442133334,1374.3379679999998,2046.7833109333333,1716.1490510476194,2181.369694552381,1424.8456245333334
