route_variant,date,departure_time,train_class,number_of_coaches
ALDERSHOT - ASCOT,2026-03-11,20:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,21:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,21:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,22:00:00,450,4
ALDERSHOT - ASCOT,2026-03-11,22:30:00,450,4
ALDERSHOT - ASCOT,2026-03-11,23:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,05:58:00,450,4
ALDERSHOT - ASCOT,2026-03-12,06:46:00,450,4
ALDERSHOT - ASCOT,2026-03-12,07:11:00,450,4
ALDERSHOT - ASCOT,2026-03-12,07:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,08:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,08:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,09:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,09:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,10:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,10:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,11:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,11:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,12:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,12:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,13:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,13:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,14:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,14:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,15:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,15:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,16:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,16:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,17:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,17:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,18:09:00,450,4
ALDERSHOT - ASCOT,2026-03-12,18:39:00,450,4
ALDERSHOT - ASCOT,2026-03-12,19:09:00,450,4
ALDERSHOT - ASCOT,2026-03-12,19:39:00,450,4
ALDERSHOT - ASCOT,2026-03-12,20:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,20:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,21:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,21:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,22:00:00,450,4
ALDERSHOT - ASCOT,2026-03-12,22:30:00,450,4
ALDERSHOT - ASCOT,2026-03-12,23:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,05:58:00,450,4
ALDERSHOT - ASCOT,2026-03-13,06:46:00,450,4
ALDERSHOT - ASCOT,2026-03-13,07:11:00,450,4
ALDERSHOT - ASCOT,2026-03-13,07:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,08:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,08:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,09:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,09:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,10:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,10:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,11:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,11:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,12:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,12:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,13:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,13:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,14:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,14:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,15:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,15:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,16:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,16:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,17:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,17:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,18:09:00,450,4
ALDERSHOT - ASCOT,2026-03-13,18:39:00,450,4
ALDERSHOT - ASCOT,2026-03-13,19:09:00,450,4
ALDERSHOT - ASCOT,2026-03-13,19:39:00,450,4
ALDERSHOT - ASCOT,2026-03-13,20:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,20:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,21:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,21:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,22:00:00,450,4
ALDERSHOT - ASCOT,2026-03-13,22:30:00,450,4
ALDERSHOT - ASCOT,2026-03-13,23:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,06:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,06:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,07:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,07:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,08:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,08:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,09:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,09:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,10:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,10:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,11:00:00,450,4
