Date,Day,Total Units,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
01/03/2026,Sunday,134062.8253568,125.65818880000002,3956.481608031373,1817.0439122823532,1277.7764956862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.2796693333334,1386.9031125333331,2176.2585727999995,2001.4591594666667,2524.9334890666664,3777.837267626667,4235.975299840001,2161.861359786667,5531.442271146668,3716.2812416000006,4297.531325866667,3716.2812416000006,4378.457284266667,3615.244063146667,4159.485526186668,3716.2812416000006,4378.457284266667,3716.2812416000006,4122.099767466668,3632.560249600001,4201.874886400001,3632.560249600001,4458.232403200001,3717.932081066667,4377.306444800001,3613.593223680001,4079.7104072533352,3716.2812416000006,4378.457284266667,3613.593223680001,4079.7104072533352,3598.7952738133336,4094.557690453334,3592.9243264000006,4111.425339733334
02/03/2026,Monday,181604.56250849523,492.48800213333334,2261.484710901961,1452.3053584313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.8203711999995,4900.149160533334,4089.455181866667,4773.427143466668,4575.7049024,4881.8640704,4793.3336128,4844.112791466668,4956.018862933333,5006.798041599998,4808.79102592,4991.340628479999,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866666,4929.2319978666665,4626.280792076191,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
03/03/2026,Tuesday,182250.2132626286,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533334,4089.455181866667,4773.427143466665,4575.7049024,4881.8640704,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599999,4808.79102592,4991.340628479999,4631.741271466666,4907.253659733334,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.231997866667,4626.280792076191,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
04/03/2026,Wednesday,182250.2132626286,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533333,4089.455181866667,4773.427143466668,4575.7049024,4881.8640704,4793.3336128,4844.112791466668,4956.018862933333,5006.798041599998,4808.791025920001,4991.3406284799985,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.231997866667,4626.280792076191,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
05/03/2026,Thursday,182250.21326262856,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.8203711999995,4900.149160533333,4089.4551818666673,4773.427143466665,4575.7049024,4881.864070399999,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599999,4808.791025920001,4991.340628479999,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866666,4929.2319978666665,4626.28079207619,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
06/03/2026,Friday,183857.75794529525,1408.630457846154,3585.887007753847,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533334,4089.4551818666673,4783.427143466667,4575.7049024,4881.864070399999,4793.3336128,4844.112791466668,4956.018862933333,5006.798041599998,4808.79102592,4991.340628479999,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.2319978666665,4626.280792076191,4745.47641112381,4552.515601371428,5951.498504228571,3010.6778322285713
07/03/2026,Saturday,177020.78553813332,698.0060501333334,3856.1184234666666,1858.9175391372548,1352.2973515294118,0.0,0.0,0.0,0.0,0.0,0.0,104.98338133333336,1405.3025173333335,636.3330218666666,4356.157964800001,4899.982493866665,4981.408452266666,4874.7595712,4925.538749866667,4981.408452266666,4575.7049024,4378.933568000001,5321.8203711999995,4900.149160533333,4170.7144736,4794.868120533333,5041.226766933333,4899.982493866666,4818.723202133334,4818.723202133334,4900.149160533334,4900.149160533334,4900.149160533334,4899.982493866665,4575.7049024,4800.604778666666,4818.723202133334,4981.408452266665,4981.408452266666,4981.408452266665,4818.723202133333,4818.723202133334,4657.130860799999,4775.215189333333,4653.6631488,4394.108782933334,4678.778376533334,4597.352418133332,4235.341911466666
08/03/2026,Sunday,134062.8253568,125.65818880000002,3956.481608031373,1817.0439122823532,1277.7764956862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.2796693333334,1386.9031125333331,2176.2585727999995,2001.4591594666667,2524.9334890666664,3777.837267626667,4235.975299840001,2161.861359786667,5531.442271146668,3716.2812416000006,4297.531325866667,3716.2812416000006,4378.457284266667,3615.244063146667,4159.485526186668,3716.2812416000006,4378.457284266667,3716.2812416000006,4122.099767466668,3632.560249600001,4201.874886400001,3632.560249600001,4458.232403200001,3717.932081066667,4377.306444800001,3613.593223680001,4079.7104072533352,3716.2812416000006,4378.457284266667,3613.593223680001,4079.7104072533352,3598.7952738133336,4094.557690453334,3592.9243264000006,4111.425339733334
09/03/2026,Monday,181604.56250849523,492.48800213333334,2261.484710901961,1452.3053584313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.8203711999995,4900.149160533333,4089.455181866667,4773.427143466668,4575.7049024,4881.864070399999,4793.3336128,4844.112791466668,4956.018862933333,5006.798041599999,4808.791025920001,4991.340628479999,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866666,4929.2319978666665,4626.28079207619,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
10/03/2026,Tuesday,182250.21326262856,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533333,4089.4551818666673,4773.427143466665,4575.7049024,4881.864070399999,4793.3336128,4844.112791466668,4956.018862933333,5006.798041599998,4808.79102592,4991.340628479999,4631.741271466666,4907.253659733334,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.231997866667,4626.28079207619,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
11/03/2026,Wednesday,182250.2132626286,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533333,4089.4551818666673,4773.427143466668,4575.7049024,4881.8640704,4793.3336128,4844.112791466668,4956.018862933333,5006.798041599998,4808.79102592,4991.340628479999,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.231997866667,4626.280792076191,4745.47641112381,4552.515601371428,5951.4985042285725,2920.9190482285712
12/03/2026,Thursday,182250.2132626286,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.8203711999995,4900.149160533334,4089.4551818666673,4773.427143466668,4575.7049024,4881.8640704,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599998,4808.79102592,4991.340628479999,4631.741271466666,4907.253659733334,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.2319978666665,4626.280792076191,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
13/03/2026,Friday,183857.75794529525,1408.630457846154,3585.887007753847,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.8203711999995,4900.149160533334,4089.4551818666673,4783.427143466668,4575.7049024,4881.8640704,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599998,4808.791025920001,4991.340628479999,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.231997866667,4626.28079207619,4745.47641112381,4552.515601371428,5951.4985042285725,3010.6778322285713
14/03/2026,Saturday,178665.7646464,698.0060501333334,4016.5152341333337,1922.3915124705884,1352.2973515294118,0.0,0.0,0.0,0.0,0.0,0.0,104.98338133333336,1405.3025173333335,653.5819434666665,4431.621512533334,4912.482493866667,4993.908452266666,4910.149160533333,4910.149160533333,4993.908452266666,4588.204902400001,4414.323157333335,5306.4307818666675,4910.149160533333,4183.2144736,4807.368120533334,5053.726766933332,4912.482493866667,4828.723202133334,4828.723202133334,4910.149160533333,4910.149160533333,4910.149160533333,4912.482493866667,4588.204902400001,4810.604778666668,4828.723202133334,4993.908452266666,4993.908452266666,4993.908452266666,4828.723202133334,4828.723202133334,4669.6308608,4810.604778666668,4731.515121066667,4583.701934933334,4910.149160533333,4828.723202133334,4483.161484800001
15/03/2026,Sunday,135866.89449173334,52.359290666666666,3903.7397018980396,1939.7513832156865,1277.7764956862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.2796693333334,1377.5115946666665,2198.150090666666,3094.5083072,2945.1003626666666,3726.11424152381,4257.045205942857,2314.5141412571434,5436.44260967619,3763.9646989714292,4356.579791695238,3783.4871396571434,4327.418052876191,3665.07909016381,4079.3307125028573,3827.473592990477,4327.418052876191,3783.4871396571434,4035.8713734095245,3746.2014671238103,4139.589498209524,3711.0123044571437,4351.960561676191,3782.99769112381,4369.560621409524,3652.182093897143,4010.801750369524,3827.4735929904773,4327.418052876191,3652.182093897143,4010.801750369524,3692.6167541638097,4031.3438538361906,3976.703788190477,3737.645877942857
16/03/2026,Monday,181604.97917516192,492.48800213333334,2261.901377568627,1452.3053584313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533333,4089.4551818666673,4773.427143466668,4575.7049024,4881.8640704,4793.3336128,4844.112791466668,4956.018862933333,5006.798041599998,4808.79102592,4991.3406284799985,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866666,4929.231997866667,4626.280792076191,4745.47641112381,4552.515601371428,5923.963122895239,2948.4544295619044
17/03/2026,Tuesday,181896.50367329526,1106.2711755897437,2026.7508020102562,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1464.8630592000004,4634.4919936000015,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.8203711999995,4874.7595712,4114.8447712,4773.427143466668,4575.7049024,4881.864070399999,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599998,4808.79102592,4991.3406284799985,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.231997866667,4626.28079207619,4745.47641112381,4552.515601371428,5951.4985042285725,2920.9190482285712
18/03/2026,Wednesday,182250.2132626286,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1464.8630592000004,4634.4919936000015,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533334,4089.455181866667,4748.037554133332,4571.297963093333,4911.6605990399985,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599999,4808.79102592,4991.3406284799985,4631.741271466666,4907.253659733334,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866666,4929.2319978666665,4626.280792076191,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
19/03/2026,Thursday,182250.21326262856,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1464.8630592000004,4634.4919936000015,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533334,4089.4551818666673,4773.427143466665,4575.7049024,4881.864070399999,4793.3336128,4844.112791466668,4956.018862933333,5006.798041599999,4808.79102592,4991.340628479999,4631.741271466666,4907.253659733334,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866666,4929.231997866667,4626.28079207619,4745.47641112381,4552.515601371428,5951.4985042285725,2920.9190482285712
20/03/2026,Friday,183857.75794529525,1408.630457846154,3585.887007753847,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1464.8630592000004,4634.4919936000015,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.8203711999995,4900.149160533334,4089.455181866667,4783.427143466668,4575.7049024,4881.864070399999,4793.3336128,4844.112791466668,4956.018862933333,5006.798041599999,4808.791025920001,4991.3406284799985,4631.741271466666,4907.253659733334,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.231997866667,4626.280792076191,4745.47641112381,4552.515601371428,5951.498504228571,3010.6778322285713
21/03/2026,Saturday,176953.62102826667,698.0060501333334,3823.2208448,1891.8151178039218,1352.2973515294118,0.0,0.0,0.0,0.0,0.0,0.0,104.98338133333336,1405.3025173333335,318.12150272,4674.369483946666,4848.6702912,4974.558404266666,4919.672900266667,4885.2876992,5016.5139392,4535.1205184,4418.663515733333,5290.151575466667,4929.1512895999995,4127.984525866666,4832.1191712,5000.642382933334,4937.233544533333,4794.145843200001,4842.779458133333,4859.898109866667,4937.733544533333,4859.898109866667,4935.0879808,4535.1205184,4840.334726399999,4778.472151466668,5016.5139392,4940.824068266667,5018.659502933334,4780.617715200001,4856.307586133334,4614.400913066666,4814.9451370666675,4626.0117525333335,4410.511257600001,4686.027298133334,4596.0190848,4225.426323199999
22/03/2026,Sunday,133813.51907413336,125.65818880000002,3869.373508266667,1640.8969400470592,1294.2252850196078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.44633600000003,1090.647104,2503.745493333333,1968.5615808,2524.9334890666664,3764.144172373334,4249.668395093334,2155.2580019200004,5538.045629013334,3709.677883733334,4304.134683733334,3709.677883733334,4385.060642133333,3606.9898658133343,4167.7397235200015,3709.677883733334,4385.060642133333,3709.677883733334,4128.703125333334,3624.3060522666674,4210.1290837333345,3624.3060522666674,4466.486600533334,3709.677883733334,4385.560642133333,3606.9898658133343,4086.313765120002,3709.677883733334,4385.060642133333,3606.9898658133343,4086.313765120002,3590.541076480001,4102.811887786667,3592.9243264000006,4111.425339733334
23/03/2026,Monday,181604.56250849523,492.48800213333334,2261.484710901961,1452.3053584313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.8203711999995,4900.149160533333,4089.4551818666673,4773.427143466668,4575.7049024,4881.8640704,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599999,4808.79102592,4991.340628479999,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866666,4929.2319978666665,4626.28079207619,4745.47641112381,4552.515601371428,5951.4985042285725,2920.9190482285712
24/03/2026,Tuesday,182250.2132626286,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.8203711999995,4900.149160533333,4089.4551818666673,4773.427143466665,4575.7049024,4881.864070399999,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599998,4808.79102592,4991.340628479999,4631.741271466666,4907.253659733334,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.231997866667,4626.280792076191,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
25/03/2026,Wednesday,182250.2132626286,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533333,4089.455181866667,4773.427143466668,4575.7049024,4881.864070399999,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599999,4808.791025920001,4991.3406284799985,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866666,4929.2319978666665,4626.280792076191,4745.47641112381,4552.515601371428,5951.4985042285725,2920.9190482285712
26/03/2026,Thursday,182250.2132626286,1408.630457846154,2078.1011090871793,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533333,4089.455181866667,4773.427143466665,4575.7049024,4881.864070399999,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599999,4808.79102592,4991.3406284799985,4631.741271466666,4907.253659733334,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866668,4929.2319978666665,4626.280792076191,4745.47641112381,4552.515601371428,5951.498504228571,2920.9190482285712
27/03/2026,Friday,183857.75794529525,1408.630457846154,3585.887007753847,1365.1972586666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.5533461333343,1489.5868949333337,4609.768157866668,5807.4680563809525,6447.921494552383,5303.202632533334,4939.066877866667,4981.408452266665,4657.130860799999,4378.933568000001,5321.820371199999,4900.149160533333,4089.455181866667,4783.427143466667,4575.7049024,4881.864070399999,4793.3336128,4844.112791466667,4956.018862933333,5006.798041599998,4808.791025920001,4991.3406284799985,4631.741271466666,4907.253659733332,4802.678816000001,5091.4222954666675,6367.679417600001,4988.930417066666,6243.5017493333335,4861.2314432,4939.066877866666,4929.2319978666665,4626.28079207619,4745.47641112381,4552.515601371428,5951.498504228571,3010.6778322285713
